,coefficient based on AUC evaluation,coefficient based on treatment effect evaluation
(Intercept),-2.934582845,-3.09881139
treatment,0,0
persist_days,0.007921226,0.008367065
der_sex_female,0,0
pat_region_E,0,0
pat_region_MW,0,0
pat_region_S,0,0.02935725
pat_region_W,0,0
idx_paytype_C,0.029325301,0.074640542
idx_paytype_M,0,0
idx_paytype_R,0,0
idx_paytype_S,0,0
idx_paytype_U,0,0
idx_prodtype_D,0,0
idx_prodtype_H,0,0
idx_prodtype_I,0,0
idx_prodtype_P,0,0.007076629
idx_prodtype_S,0,0
idx_prodtype_U,0,0
idx_spec_01,0,0
idx_spec_02,0,0
idx_spec_03,-0.088883604,-0.107445747
idx_spec_04,0,0
idx_spec_05,0,0
age_1,0,0
age_2,0,0.019441881
age_3,0,0
age_4,-0.12836903,-0.219778111
pchrlson_1,-0.008057063,0
pchrlson_2,0,0
pchrlson_3,0,0
num_pre_meds_1,0,0
num_pre_meds_2,-0.284117784,-0.247888085
num_pre_meds_3,0,0.042389263
num_pre_meds_4,0,0
num_pre_op_dx_1,-0.178971969,-0.216733816
num_pre_op_dx_2,-0.003846852,0
num_pre_op_dx_3,0.000380912,0.013942481
num_pre_op_dx_4,0.0446248,0
pre_non_ms_pharmacy_allowed_1,-0.208999944,-0.21500601
pre_non_ms_pharmacy_allowed_2,0,0
pre_non_ms_pharmacy_allowed_3,0,0
pre_non_ms_pharmacy_allowed_4,0,0
pre_ms_pharmacy_allowed_1,0,0
pre_ms_pharmacy_allowed_2,0,0
pre_ms_pharmacy_allowed_3,0,0.024210165
pre_ms_pharmacy_allowed_4,0,0
pre_non_ms_medical_allowed_1,0,0
pre_non_ms_medical_allowed_2,0,0
pre_non_ms_medical_allowed_3,0,0
pre_non_ms_medical_allowed_4,0.013079138,0
pre_ms_medical_allowed_1,0,0
pre_ms_medical_allowed_2,0,-0.031407246
pre_ms_medical_allowed_3,0,0
pre_ms_medical_allowed_4,0,0
pre_rx2,0,0
pre_rx3,0.251833039,0.336980581
pre_rx4,0,0
pre_rx5,0,0
pre_rx6,0,0
pre_rx7,0,0
pre_rx8,0,0
pre_rx9,0,0
pre_rx11,0,0
pre_comor1,0,0
pre_comor2,0.164419287,0.144374603
pre_comor3,0,0.082454225
pre_comor4,0,-0.005505152
pre_comor5,0,0
pre_comor6,0,0.042399912
pre_comor7,0,0.055764706
pre_comor8,0,0
pre_comor9,0,0
pre_comor10,0,0
pre_comor11,0,0
pre_comor12,0.163527732,0.253630017
pre_comor13,0,0
pre_comor14,0,0.182021051
pre_comor15,0.056176227,0.177682882
pre_comor16,0.038666775,0.026551063
pre_comor17,0,0
pre_comor19,0,0
pre_comor20,0,0
pre_comor22,0,0
pre_comor23,0.170886595,0.193809841
pre_comor24,0,0
pre_comor25,0,0.033515515
pre_comor26,0,0
pre_comor27,0,0
pre_comor28,0,0
pre_comor29,0,0
pre_comor30,0,-0.044452991
pre_comor31,0.226297134,0.278134047
pre_comor32,0,0
pre_comor33,0,0
pre_ampyra1,0,0
pre_90_mri_any,0,-0.01176351
num_pre_mri_any_1,0,0
num_pre_mri_any_2,0,0
num_pre_mri_any_3,-0.122414922,-0.247222754
num_pre_mri_any_4,0.047115764,0.034498236
pre_90_cort_any,0.344118042,0.367749274
num_pre_cort_oral_1,-0.084460371,-0.072733906
num_pre_cort_oral_2,0,0
num_pre_cort_oral_3,0.018477862,0.059709923
num_pre_cort_iv_1,-0.21536565,-0.222165031
num_pre_cort_iv_2,0,0
num_pre_cort_iv_3,0.177530824,0.212362707
pre_relapse_90,0,0
pre_ip_relapse,0,0
num_pre_relapses_1,-0.286956009,-0.257559015
num_pre_relapses_2,0,0
num_pre_relapses_3,0.546105166,0.554354851
persist_days_interact,-0.002399748,-0.002924987
der_sex_female_interact,0,0
pat_region_E_interact,0,0
pat_region_MW_interact,0.080270782,0.169024165
pat_region_S_interact,0,0
pat_region_W_interact,0,0
idx_paytype_C_interact,0,0
idx_paytype_M_interact,0,0
idx_paytype_R_interact,0,0
idx_paytype_S_interact,0,0
idx_paytype_U_interact,0,0
idx_prodtype_D_interact,0,0
idx_prodtype_H_interact,0,0
idx_prodtype_I_interact,0,0
idx_prodtype_P_interact,0,0
idx_prodtype_S_interact,0,0
idx_prodtype_U_interact,0,0
idx_spec_01_interact,0,0
idx_spec_02_interact,0,0
idx_spec_03_interact,0,0
idx_spec_04_interact,0,0
idx_spec_05_interact,0,0
age_1_interact,0,0
age_2_interact,0,0
age_3_interact,0,0
age_4_interact,0,0
pchrlson_1_interact,-0.075205278,-0.120873912
pchrlson_2_interact,0,0
pchrlson_3_interact,0,0
num_pre_meds_1_interact,0,0
num_pre_meds_2_interact,-0.019094319,-0.089193422
num_pre_meds_3_interact,0,0
num_pre_meds_4_interact,0,0
num_pre_op_dx_1_interact,0,-0.022244921
num_pre_op_dx_2_interact,0,-0.065557369
num_pre_op_dx_3_interact,0,0
num_pre_op_dx_4_interact,0,0
pre_non_ms_pharmacy_allowed_1_interact,0,0
pre_non_ms_pharmacy_allowed_2_interact,0,0
pre_non_ms_pharmacy_allowed_3_interact,0,-0.022354019
pre_non_ms_pharmacy_allowed_4_interact,0.068449936,0.105588973
pre_ms_pharmacy_allowed_1_interact,0,-0.007474111
pre_ms_pharmacy_allowed_2_interact,0,0
pre_ms_pharmacy_allowed_3_interact,0,0
pre_ms_pharmacy_allowed_4_interact,0,0
pre_non_ms_medical_allowed_1_interact,0,0
pre_non_ms_medical_allowed_2_interact,0,0
pre_non_ms_medical_allowed_3_interact,0,0
pre_non_ms_medical_allowed_4_interact,0.165469458,0.180971858
pre_ms_medical_allowed_1_interact,0,0
pre_ms_medical_allowed_2_interact,0,0
pre_ms_medical_allowed_3_interact,0.220250567,0.289019504
pre_ms_medical_allowed_4_interact,0,0
pre_rx2_interact,0.040364817,0.14807085
pre_rx3_interact,0,0
pre_rx4_interact,0,0
pre_rx5_interact,0,0
pre_rx6_interact,0,0.041074939
pre_rx7_interact,0,0
pre_rx9_interact,0,0
pre_rx11_interact,0,0
pre_comor1_interact,0,0
pre_comor2_interact,0,0.035664727
pre_comor3_interact,0,0
pre_comor4_interact,0,0
pre_comor5_interact,0,0
pre_comor6_interact,0,0
pre_comor7_interact,0,0
pre_comor8_interact,0,0
pre_comor9_interact,0,0
pre_comor10_interact,0,0
pre_comor11_interact,0,0
pre_comor12_interact,0,0
pre_comor13_interact,0,0
pre_comor14_interact,0,0
pre_comor15_interact,0,0
pre_comor16_interact,0.00794938,0.115565047
pre_comor17_interact,0,0
pre_comor19_interact,0,0
pre_comor20_interact,0,0
pre_comor22_interact,0,0
pre_comor23_interact,0,0
pre_comor24_interact,0,0
pre_comor25_interact,0,0.002259175
pre_comor26_interact,0,0
pre_comor27_interact,0,0
pre_comor28_interact,0,0
pre_comor29_interact,0,0
pre_comor30_interact,0,0
pre_comor31_interact,0,0
pre_comor32_interact,0,0
pre_comor33_interact,0,0
pre_ampyra1_interact,0,0
pre_90_mri_any_interact,0,-0.005324629
num_pre_mri_any_1_interact,0,0
num_pre_mri_any_2_interact,0,0
num_pre_mri_any_3_interact,0,0.102498954
num_pre_mri_any_4_interact,0,0
pre_90_cort_any_interact,0,0
num_pre_cort_oral_1_interact,0,0
num_pre_cort_oral_2_interact,0,0
num_pre_cort_oral_3_interact,0,0
num_pre_cort_iv_1_interact,0,0
num_pre_cort_iv_2_interact,0,0
num_pre_cort_iv_3_interact,0,0
pre_relapse_90_interact,0,-0.024771004
pre_ip_relapse_interact,0,0
num_pre_relapses_1_interact,0,0
num_pre_relapses_2_interact,0,0
num_pre_relapses_3_interact,0,0
