,coefficient,odds_ratio,p_value
(Intercept),-16.9046757916738,4.55399537603917e-08,0.994378990751902
treatment,-0.0416575810743242,0.959198171953114,0.999987864956516
persist_days,0.00972397165886872,1.00977140308724,0.00077760628144098
der_sex_female,0.311089587428365,1.36491149461975,0.309817830880044
pat_region_E,0.596687387439468,1.81609281315652,0.22535799446692
pat_region_MW,-0.182527575288593,0.833161668938095,0.709665567663812
pat_region_S,0.393825574983251,1.48264191627835,0.430765465279318
pat_region_W,NA,NA,NA
idx_paytype_C,14.5637801833469,2113339.98104845,0.995157354877349
idx_paytype_M,15.1618139928901,3843192.6288351,0.994958507772167
idx_paytype_R,0.879905069414459,2.41067084915935,0.999739379731374
idx_paytype_S,14.2177339922978,1495145.36216531,0.995272418316486
idx_paytype_U,NA,NA,NA
idx_prodtype_D,-0.570372342018555,0.565314909013104,0.729872280524571
idx_prodtype_H,-1.48916553958118,0.225560798588016,0.321830956024489
idx_prodtype_I,-0.634810596572005,0.530035869421635,0.703999796471927
idx_prodtype_P,-1.00087992046699,0.367555878897182,0.487500401951379
idx_prodtype_S,-2.26350207210849,0.103985680989988,0.16090620921358
idx_prodtype_U,NA,NA,NA
idx_spec_01,-1.12115730838745,0.325902406699295,0.284935565296451
idx_spec_02,0.796120269352112,2.21692315726941,0.452890706503171
idx_spec_03,-0.513758214974112,0.598243022782278,0.577878835162818
idx_spec_04,-0.36991675514181,0.690791833112115,0.68959672636829
idx_spec_05,NA,NA,NA
age_1,0.690384910353041,1.99448308270224,0.147749276704487
age_2,1.03175983065528,2.80599957622391,0.00807751079278144
age_3,0.91544624593837,2.49788967635527,0.0126060298714385
age_4,NA,NA,NA
pchrlson_1,-0.838147451393989,0.432511029416644,0.0437828765195914
pchrlson_2,-0.583289418534692,0.558059652309204,0.201389146794749
pchrlson_3,NA,NA,NA
num_pre_meds_1,0.104674734679497,1.11034939346189,0.84437098649364
num_pre_meds_2,-0.262109417388928,0.769426830426799,0.511275738943295
num_pre_meds_3,0.169224027934779,1.18438544463006,0.632429986814934
num_pre_meds_4,NA,NA,NA
num_pre_op_dx_1,-0.0299190653109278,0.970524079434528,0.953652879149237
num_pre_op_dx_2,0.22848267721739,1.25669175554525,0.631436796867863
num_pre_op_dx_3,0.15170230964865,1.16381372874086,0.700965638004729
num_pre_op_dx_4,NA,NA,NA
