covariate_name	Group1_Mean	Group1_SD	Group5_Mean	Group5_SD	Difference_between_Group	p_value	var_description
pre_ms_total_allowed_4	0.0317910447761194	0.035846955192398	0.466059701492537	0.104030535334628	-0.434268656716418	1.5239706048321e-23	MS-related total pre-index costs: highest 25%
pre_ampyra1	0.0284179104477612	0.0189576750778329	0.186029850746269	0.0605307699773601	-0.157611940298507	1.5239706048321e-23	Boolean for pre-index ampyra use
pre_ms_total_allowed_2	0.524298507462687	0.121291799621715	0.0868358208955224	0.0608721277149807	0.437462686567164	1.12585646227531e-22	MS-related total pre-index costs: middle lower 25%
der_sex_female	0.869731343283582	0.0526953750759231	0.645134328358209	0.0804995530012249	0.224597014925373	3.57949762402808e-20	Female
pre_comor11	0.0811044776119403	0.0363869417747255	0.204925373134328	0.0558832935806689	-0.123820895522388	3.57949762402808e-20	Boolean for pre-index symptoms and comorbidities: Visual Symptoms
pre_comor20	0.00256716417910448	0.00287823268479286	0.0105671641791045	0.00471352011236896	-0.008	7.5070225613235e-20	Boolean for pre-index symptoms and comorbidities: Sexual dysfunction
pre_comor25	0.181701492537313	0.0540630913104552	0.326865671641791	0.0618423624383306	-0.145164179104478	7.31595471462123e-17	Boolean for pre-index symptoms and comorbidities: Dyslipidemia
pat_region_S	0.218328358208955	0.0635613688775102	0.381044776119403	0.0845908148639581	-0.162716417910448	2.40387030854716e-16	Region: South
pre_cort_iv	0.233044776119403	0.0855566287627006	0.449880597014925	0.11045166869598	-0.216835820895522	1.24419211485436e-15	Boolean for pre-index iv corticosteroid use
pre_rx_any	0.63110447761194	0.100606431476659	0.816477611940299	0.0779896409749621	-0.185373134328358	4.7802618500078e-14	Boolean for pre-index DMT use (max of pre_rx1-pre_rx11)
idx_prodtype_U	0.0017910447761194	0.00228481789964995	0.00585074626865672	0.00320099532011853	-0.00405970149253731	2.11523561649547e-13	Index Provider type: unknown/missing
age_4	0.161731343283582	0.0498838215433902	0.262776119402985	0.0541791730054526	-0.101044776119403	9.62478893935845e-13	Aged 55+
pre_comor15	0.0336119402985075	0.019538176116504	0.077044776119403	0.0307323310510597	-0.0434328358208955	1.53745979442804e-12	Boolean for pre-index symptoms and comorbidities: Tremor
pat_region_E	0.36244776119403	0.0708676959046348	0.225791044776119	0.0651605179802619	0.13665671641791	2.55962508777167e-12	Region: Northeast
num_pre_op_dx_2	0.323701492537313	0.0685410177543447	0.198955223880597	0.0538925417526002	0.124746268656716	2.55962508777167e-12	Number of pre-index OP visits with an MS diagnosis: 5-7
pre_comor24	0.0363283582089552	0.024805164805724	0.107880597014925	0.0449456962756161	-0.0715522388059701	2.55962508777167e-12	Boolean for pre-index symptoms and comorbidities: Diabetes mellitus
pchrlson_1	0.786208955223881	0.0814814089305352	0.629611940298507	0.11059693862912	0.156597014925373	1.04619150882892e-11	CCI score = 0
pre_ms_total_allowed_3	0.153611940298507	0.0705931342280725	0.284238805970149	0.0655860357849807	-0.130626865671642	1.04619150882892e-11	MS-related total pre-index costs: middle upper 25%
pre_comor6	0.0917611940298508	0.0455594972975065	0.176567164179104	0.0615664903178908	-0.0848059701492537	1.6534135718006e-11	Boolean for pre-index symptoms and comorbidities: Bladder Dysfunction
pre_comor2	0.175850746268657	0.0467172487762852	0.252925373134328	0.058840244974216	-0.0770746268656716	2.61073012238468e-11	Boolean for pre-index symptoms and comorbidities: Walking (Gait), Balance, and Coordination Problems
