,coefficient based on AUC evaluation,coefficient based on treatment effect evaluation
(Intercept),-1.923811925,-1.943276159
treatment,0,0
persist_days,-0.00108245,-0.002393482
der_sex_female,0,-0.044626373
pat_region_E,0,0
pat_region_MW,0.106883886,0.223361284
pat_region_S,0,-0.140414761
pat_region_W,0,0
idx_paytype_C,0,0.020529918
idx_paytype_M,0,-0.888746029
idx_paytype_R,0,0
idx_paytype_S,0,0
idx_paytype_U,0,0
idx_prodtype_D,0,0
idx_prodtype_H,0,-0.11184717
idx_prodtype_I,0,0
idx_prodtype_P,0,0.013753459
idx_prodtype_S,0,0.212340061
idx_prodtype_U,0,0
idx_spec_01,0,0.196574424
idx_spec_02,0,0
idx_spec_03,0,-0.031177157
idx_spec_04,0,0
idx_spec_05,0,0
age_1,0,0
age_2,0,0.040106656
age_3,0,0
age_4,0,0
pchrlson_1,0,0
pchrlson_2,0,0.089630684
pchrlson_3,0,-0.132812194
num_pre_meds_1,0,-0.039745657
num_pre_meds_2,0,0.082922315
num_pre_meds_3,0,0
num_pre_meds_4,0,0.19256547
num_pre_op_dx_1,0,0.232204573
num_pre_op_dx_2,0,-0.055341649
num_pre_op_dx_3,0,0
num_pre_op_dx_4,0,0.218191567
pre_non_ms_total_allowed_1,0,0
pre_non_ms_total_allowed_2,0,-0.007048818
pre_non_ms_total_allowed_3,0,0.031799565
pre_non_ms_total_allowed_4,0,0.064306431
pre_ms_total_allowed_1,0,0.004167669
pre_ms_total_allowed_2,0,-0.000391639
pre_ms_total_allowed_3,0,0.046824882
pre_ms_total_allowed_4,0,0
pre_rx_any,0,0.033837972
pre_comor1,0,0
pre_comor2,0,0.233432474
pre_comor3,0,0
pre_comor4,0,-0.13197385
pre_comor5,0,0.035133028
pre_comor6,0,0
pre_comor7,0,-0.006091253
pre_comor8,0,0.12494019
pre_comor9,0,-0.451071369
pre_comor10,0,0.337243802
pre_comor11,0,0
pre_comor12,0,-0.103765479
pre_comor13,0,0.005083128
pre_comor14,0,0
pre_comor15,0,0
pre_comor16,0,-0.113788013
pre_comor17,0,0
pre_comor19,0,-0.251272281
pre_comor20,0,0
pre_comor22,0,0
pre_comor23,0,-0.043718037
pre_comor24,0,0.192725187
pre_comor25,0,-0.035180842
pre_comor26,0,0
pre_comor27,0,-0.039837202
pre_comor28,0,0
pre_comor29,0,0
pre_comor30,0,0.43530669
pre_comor31,0,-0.166911717
pre_comor32,0,0
pre_comor33,0,0.263830458
pre_ampyra1,0,-0.174130854
pre_mri_any,0,0.058614517
pre_90_cort_any,0,0.038116694
pre_cort_oral,0,0
pre_cort_iv,0,-0.138015136
pre_relapse,0,-0.009833946
