response,sample_proportion,variable,num_sign_std,mean_OR_std,SD_OR_std,num_retain_stepwise,num_sign_stepwise,mean_OR_stepwise,SD_OR_stepwise,num_retain_lasso,num_sign_lasso,mean_OR_lasso,SD_OR_lasso,mean_OR_std_lasso,dif_OR_14,mean_OR_stepwise_lasso,dif_OR_16,var_description
persistent,0.5,treatment,100,2.05147241175698,0.210664570337609,100,100,2.03390834667864,0.20090227382355,100,100,2.05142167341951,0.210660172212661,2.05147241175698,-5.07383374617199e-05,2.03390834667864,0.0175133267408767,NA
persistent,0.5,age,3,0.995979382204136,0.00565773383135401,13,2,0.990229043680975,0.00632123170423496,100,3,0.995977094812125,0.00565736045724883,0.995979382204136,-2.28739201069139e-06,0.990229043680975,0.0057480511311504,NA
persistent,0.5,der_sex_female,1,0.933455545165417,0.104784770158857,14,4,0.751483748776239,0.0423972806662531,100,1,0.933477634424894,0.104781519573686,0.933455545165417,2.20892594778865e-05,0.751483748776239,0.181993885648655,Female
persistent,0.5,pre_rx_any,1,0.898862003700119,0.0963747999182442,16,0,0.806746406691503,0.149417397754151,100,1,0.898941074241886,0.0963940372801103,0.898862003700119,7.90705417670345e-05,0.806746406691503,0.0921946675503832,Boolean for pre-index DMT use (max of pre_rx1-pre_rx11)
persistent,0.5,pat_region_E,1,0.930395896812875,0.184861990560862,9,3,0.883422489867324,0.306672678979117,100,1,0.930183538199036,0.184615442999273,0.930395896812875,-0.000212358613838282,0.883422489867324,0.046761048331712,Region: Northeast
persistent,0.5,pat_region_MW,3,0.880457636020662,0.176088259432645,18,6,0.771212266192831,0.151354358462898,100,3,0.880431948335986,0.175957213165043,0.880457636020662,-2.56876846757015e-05,0.771212266192831,0.109219682143156,Region: Midwest
persistent,0.5,pat_region_S,0,0.982846076864136,0.193303429589053,10,1,1.03557363734049,0.315477485745439,100,0,0.98269221279364,0.193130297237508,0.982846076864136,-0.000153864070495668,1.03557363734049,-0.0528814245468493,Region: South
persistent,0.5,idx_paytype_C,25,2.13257230795974,0.794278111944078,52,31,2.72006770336977,0.597548368741597,100,25,2.12299361020053,0.790072182222135,2.13257230795974,-0.00957869775921294,2.72006770336977,-0.59707409316924,Index Payer type: Commercial
persistent,0.5,idx_paytype_S,26,2.15430346859755,0.820970275270432,52,33,2.768408706678,0.647096362072384,100,26,2.14487858915298,0.816484824416249,2.15430346859755,-0.00942487944457104,2.768408706678,-0.623530117525021,Index Payer type: Self-insured
persistent,0.5,idx_prodtype_H,3,0.814942863745496,0.251732355210466,16,4,0.606056871134245,0.33681410415543,100,3,0.815308863535103,0.251383759912955,0.814942863745496,0.000365999789606275,0.606056871134245,0.209251992400858,Index Provider type: Health Maintenance Organization
