response,sample_proportion,variable,num_sign_std,mean_OR_std,SD_OR_std,num_retain_stepwise,num_sign_stepwise,mean_OR_stepwise,SD_OR_stepwise,num_retain_lasso,num_sign_lasso,mean_OR_lasso,SD_OR_lasso,mean_OR_std_lasso,dif_OR_14,mean_OR_stepwise_lasso,dif_OR_16,var_description
persistent,0.1194743130227,treatment,79,2.47809090612367,0.854804551402438,89,79,2.43154799874523,0.674623895757902,100,79,2.47778209871193,0.854541919852468,2.47809090612367,-0.000308807411744993,2.43154799874523,0.0462340999666968,NA
persistent,0.1194743130227,age,12,0.996880411441021,0.020757497000283,26,15,0.995380338221651,0.032746807056025,100,12,0.99687946156056,0.0207546529082745,0.996880411441021,-9.49880460843211e-07,0.995380338221651,0.00149912333890878,NA
persistent,0.1194743130227,der_sex_female,9,0.985314840993117,0.428796078792443,22,6,0.887214746672844,0.610173472999379,100,9,0.985334477013668,0.428698766062048,0.985314840993117,1.96360205506618e-05,0.887214746672844,0.0981197303408239,Female
persistent,0.1194743130227,pre_rx_any,11,0.980662667692929,0.430272886131818,23,11,0.884800673227678,0.698124252602599,100,11,0.980634485197394,0.429988203654245,0.980662667692929,-2.81824955350451e-05,0.884800673227678,0.0958338119697155,Boolean for pre-index DMT use (max of pre_rx1-pre_rx11)
persistent,0.1194743130227,pat_region_E,6,1.07932151124637,0.768633818789982,22,8,1.03628454281094,0.875725254051626,100,6,1.07944966146423,0.768336612522873,1.07932151124637,0.000128150217860945,1.03628454281094,0.0431651186532955,Region: Northeast
persistent,0.1194743130227,pat_region_MW,4,0.975330624265264,0.64707028609132,26,8,0.918542760017052,0.757086224914118,100,4,0.975396231570588,0.646766692474795,0.975330624265264,6.56073053235673e-05,0.918542760017052,0.056853471553536,Region: Midwest
persistent,0.1194743130227,pat_region_S,7,1.13811457770957,0.873158900173628,24,13,1.33022446539822,1.1296558615044,100,7,1.13793877244429,0.872655702554704,1.13811457770957,-0.000175805265285378,1.33022446539822,-0.192285692953928,Region: South
persistent,0.1194743130227,idx_paytype_C,13,30046988.4791124,288609056.056189,28,16,14601071.4551867,61403605.676128,100,13,583.153165872386,5689.23911209748,30046988.4791124,-30046405.3259465,14601071.4551867,-14600488.3020208,Index Payer type: Commercial
persistent,0.1194743130227,idx_paytype_S,9,23525193.1977979,205085112.452738,34,17,12683049.9434183,51007107.6721145,100,9,423.140500179387,4014.28594588984,23525193.1977979,-23524770.0572977,12683049.9434183,-12682626.8029181,Index Payer type: Self-insured
persistent,0.1194743130227,idx_prodtype_H,4,1.28082535941165,2.40000086788367,28,6,1.15305675036058,2.31083926557434,100,4,1.28062354743754,2.39839767634192,1.28082535941165,-0.000201811974108512,1.15305675036058,0.127566797076966,Index Provider type: Health Maintenance Organization
