variable,var_description,num_sign_std,mean_OR_std,D_OR_std,num_retain_stepwise,num_sign_stepwise,mean_OR_stepwise,SD_OR_stepwise,num_retain_lasso,num_sign_lasso,mean_OR_lasso,SD_OR_lasso,mean_OR_std_lasso,dif_OR_14,mean_OR_stepwise_lasso,dif_OR_16,,
treatment,NA,72,2.28,0.76,83,76,2.35,0.57,83,68,1.63,0.39,2.45,-0.82,2.40,-0.78,,
age,NA,8,1.00,0.02,24,6,0.99,0.03,92,5,1.00,0.01,1.00,0.00,0.99,0.01,,
der_sex_female,Female,4,0.98,0.35,15,4,0.80,0.54,22,5,0.85,0.18,0.73,0.12,0.61,0.23,,
pre_rx_any,Boolean for pre-index DMT use (max of pre_rx1-pre_rx11),2,0.97,0.32,21,7,0.94,0.62,21,1,0.98,0.23,1.12,-0.15,1.24,-0.27,,
pre_ampyra1,Boolean for pre-index ampyra use,4,1.46,0.98,22,2,2.80,1.50,16,1,1.52,0.86,2.31,-0.78,3.40,-1.87,,
pre_mri_any,Boolean for pre-index MRI use,5,1.03,0.41,18,7,1.20,0.68,25,3,0.95,0.28,1.07,-0.11,1.25,-0.29,,
pre_90_cort_any,Boolean for corticosteroid use within 90 days pre-index,6,1.18,0.54,16,7,1.50,0.80,24,4,1.04,0.41,1.34,-0.30,1.66,-0.62,,
pre_cort_oral,Boolean for pre-index oral corticosteroid use,13,0.84,0.32,25,14,0.67,0.43,35,9,0.85,0.24,0.70,0.15,0.63,0.22,,
pre_cort_iv,Boolean for pre-index iv corticosteroid use,6,0.82,0.37,26,12,0.81,0.65,26,6,0.86,0.25,0.69,0.18,0.68,0.18,,
pre_relapse,Boolean for presence of pre-index relapse,8,1.62,0.81,21,12,2.16,0.65,16,5,1.66,0.59,2.42,-0.75,2.43,-0.77,,
pat_region_E,Region: Northeast,4,1.01,0.62,14,4,0.74,0.73,23,3,0.94,0.32,0.95,-0.01,0.69,0.25,,
pat_region_MW,Region: Midwest,6,1.00,0.65,22,13,0.96,1.00,26,7,0.93,0.36,0.97,-0.04,1.14,-0.22,,
pat_region_S,Region: South,4,1.10,0.77,23,8,1.19,0.89,24,7,1.17,0.54,1.39,-0.22,1.28,-0.11,,
idx_paytype_C,Index Payer type: Commercial,8,341539.39,3415350.83,37,13,592130.76,3601753.02,19,3,4.21,9.61,9.56,-5.36,10.73,-6.52,,
idx_paytype_S,Index Payer type: Self-insured,8,713699.22,7136947.35,37,13,1002334.08,6096919.83,19,6,4.67,10.74,7.05,-2.37,9.37,-4.70,,
idx_prodtype_H,Index Provider type: Health Maintenance Organization,2,1.00,1.20,25,7,0.76,1.43,11,1,0.54,0.28,0.43,0.11,0.24,0.31,,
idx_prodtype_P,Index Provider type: Preferred Provided Organization,2,0.91,0.93,28,7,0.68,1.17,18,2,0.76,0.34,0.78,-0.02,0.49,0.26,,
idx_prodtype_S,Index Provider type: Point of Service,4,1.36,1.75,22,6,1.52,2.62,11,2,1.06,0.76,0.89,0.17,0.16,0.90,,
idx_spec_01,Index Prescribing physician specialty: General practice/Family practice ,0,1.39,2.27,24,6,2.16,3.84,14,3,1.43,1.82,3.15,-1.72,4.47,-3.04,,
idx_spec_02,Index Prescribing physician specialty: Internal medicine,2,0.94,1.27,19,4,0.46,1.09,10,1,0.47,0.46,1.03,-0.57,1.42,-0.95,,
idx_spec_03,Index Prescribing physician specialty: Neurology,0,0.75,0.72,33,9,0.46,0.59,25,4,0.78,0.38,0.58,0.20,0.62,0.16,,
idx_spec_04,Index Prescribing physician specialty: Other,0,0.84,0.86,31,6,0.62,0.88,26,2,0.92,0.47,1.00,-0.08,1.10,-0.18,,
pre_comor1,Boolean for pre-index symptoms and comorbidities: Numbness,10,1.56,0.65,29,10,2.10,0.62,32,7,1.32,0.41,1.99,-0.67,2.27,-0.95,,
pre_comor2,Boolean for pre-index symptoms and comorbidities: Walking (Gait),10,1.28,0.68,24,10,1.79,0.80,28,10,1.17,0.42,1.60,-0.42,1.86,-0.68, Balance, and Coordination Problems
pre_comor3,Boolean for pre-index symptoms and comorbidities: Dizziness and Vertigo,11,1.04,0.76,27,13,1.13,1.28,26,8,0.89,0.39,0.93,-0.04,0.97,-0.08,,
pre_comor4,Boolean for pre-index symptoms and comorbidities: Muscle weakness/spasm/spasticity,5,1.05,0.48,15,6,1.15,0.84,19,4,0.87,0.21,0.88,-0.01,0.49,0.38,,
pre_comor5,Boolean for pre-index symptoms and comorbidities: Fatigue,5,1.06,0.37,18,5,1.18,0.63,30,3,1.02,0.27,1.15,-0.13,1.33,-0.31,,
pre_comor6,Boolean for pre-index symptoms and comorbidities: Bladder Dysfunction,8,1.19,0.73,17,6,1.60,1.14,19,2,1.15,0.52,1.36,-0.22,1.50,-0.36,,
pre_comor7,Boolean for pre-index symptoms and comorbidities: Bowel Dysfunction,7,1.06,0.66,18,8,1.16,1.22,18,1,0.95,0.33,0.96,-0.01,1.20,-0.25,,
pre_comor11,Boolean for pre-index symptoms and comorbidities: Visual Symptoms,8,1.12,0.65,22,12,1.30,1.04,24,8,0.98,0.46,1.13,-0.15,1.23,-0.25,,
pre_comor12,Boolean for pre-index symptoms and comorbidities: Pain,2,0.99,0.75,17,6,1.12,1.53,13,1,0.93,0.56,1.04,-0.12,1.62,-0.69,,
pre_comor13,Boolean for pre-index symptoms and comorbidities: Headache,10,0.84,0.28,21,12,0.51,0.09,37,10,0.81,0.15,0.67,0.14,0.49,0.32,,
pre_comor14,Boolean for pre-index symptoms and comorbidities: Seizures,8,254695.59,1791951.45,18,3,1253478.92,3712745.22,11,3,1.46,1.58,1.87,-0.41,2.04,-0.58,,
pre_comor15,Boolean for pre-index symptoms and comorbidities: Tremor,5,149657.24,1496560.99,27,7,551899.60,2867748.89,10,1,1.33,1.34,1.27,0.05,1.12,0.21,,
pre_comor16,Boolean for pre-index symptoms and comorbidities: Respiration/breathing problems,14,0.82,0.54,33,18,0.61,0.68,26,8,0.81,0.31,0.63,0.18,0.53,0.28,,
pre_comor23,Boolean for pre-index symptoms and comorbidities: Depression Comorbidity,6,0.94,0.35,20,5,0.82,0.55,33,5,0.89,0.25,0.79,0.10,0.73,0.15,,
pre_comor24,Boolean for pre-index symptoms and comorbidities: Diabetes mellitus,3,1.41,1.10,16,3,2.31,1.71,14,2,1.19,0.65,1.68,-0.49,2.11,-0.92,,
pre_comor25,Boolean for pre-index symptoms and comorbidities: Dyslipidemia,3,1.24,0.45,21,7,1.67,0.60,24,5,1.19,0.38,1.45,-0.26,1.79,-0.60,,
pre_comor27,Boolean for pre-index symptoms and comorbidities: History of CVD,4,1.39,1.28,14,5,2.66,2.51,10,2,1.54,1.23,2.22,-0.68,3.09,-1.55,,
pre_comor30,Boolean for pre-index symptoms and comorbidities: Obesity,2,134511.47,1345093.83,26,5,429212.40,2188543.34,15,2,1.95,1.53,3.39,-1.44,4.00,-2.05,,
pre_comor31,Boolean for pre-index symptoms and comorbidities: Tobacco use (including disorder),10,0.97,1.03,30,11,0.88,1.42,25,8,1.19,1.82,1.09,0.10,0.93,0.26,,
pchrlson1,NA,3,1.15,0.56,14,4,1.62,0.89,19,4,1.11,0.33,1.43,-0.32,1.86,-0.75,,
pchrlson2,NA,3,0.99,0.55,19,8,0.97,0.84,22,1,0.90,0.34,0.92,-0.02,0.89,0.02,,
num_pre_meds_upmedian,NA,10,0.94,0.40,28,13,0.71,0.44,39,12,0.85,0.17,0.74,0.10,0.58,0.27,,
num_pre_op_dx_upmedian,NA,3,1.06,0.37,15,6,1.06,0.67,35,4,1.07,0.24,1.15,-0.08,1.19,-0.12,,
pre_non_ms_total_allowed_upmedian,NA,6,1.22,0.43,23,10,1.36,0.65,30,4,1.09,0.30,1.28,-0.19,1.33,-0.24,,
pre_ms_total_allowed_upmedian,NA,57,2.41,1.00,83,73,2.44,0.75,84,62,1.64,0.49,2.57,-0.93,2.51,-0.87,,
